QuoteID,DateID,CustomerID,ProductID,QuoteValue,Status
Q000080,20260610,C0353,P011,3122,Lost
Q000081,20250303,C0582,P015,5377,Won
Q000082,20251112,C0438,P011,9379,Lost
Q000083,20240210,C0040,P007,6132,Lost
Q000084,20260217,C0079,P006,8801,Won
Q000085,20250416,C0350,P009,2420,Won
Q000086,20240508,C0697,P009,9174,Lost
Q000087,20250825,C0211,P015,7646,Lost
Q000088,20260919,C0364,P012,9594,Won
Q000089,20260308,C0423,P003,3228,Won
Q000090,20240624,C0707,P003,2248,Won
Q000091,20240409,C0664,P008,5484,Won
Q000092,20240916,C0801,P002,1411,Won
Q000093,20240305,C0884,P002,7759,Won
Q000094,20250630,C0379,P005,5260,Won
Q000095,20250101,C0994,P013,6013,Won
Q000096,20250315,C0802,P015,8964,Lost
Q000097,20240622,C0661,P008,6637,Won
Q000098,20250118,C0820,P003,8409,Pending
Q000099,20250403,C0681,P002,2485,Won
Q000100,20251130,C0150,P004,6482,Lost
Q000101,20250201,C0577,P003,3290,Won
Q000102,20240424,C0231,P003,5032,Won
Q000103,20240226,C0464,P003,2262,Won
Q000104,20261127,C0936,P008,9502,Pending
Q000105,20251020,C0299,P011,3348,Won
Q000106,20241225,C0023,P010,5409,Won
Q000107,20260717,C0260,P012,7458,Won
Q000108,20240212,C0782,P005,4459,Lost
Q000109,20240819,C0689,P007,9625,Won
Q000110,20260725,C0452,P009,6537,Won
Q000111,20260711,C0341,P004,2695,Lost
Q000112,20260313,C0658,P002,3692,Won
Q000113,20240903,C0933,P013,3190,Lost
Q000114,20240809,C0196,P004,9778,Won
Q000115,20250615,C0829,P006,1027,Won
Q000116,20250816,C0369,P004,2246,Won
Q000117,20260828,C0305,P010,8214,Lost
Q000118,20260610,C0813,P012,7302,Pending
Q000119,20250211,C0627,P002,3996,Won
Q000120,20260331,C0073,P005,6502,Won
Q000121,20241217,C0321,P005,552,Won
Q000122,20250419,C0309,P015,6211,Won
Q000123,20240712,C0668,P010,5758,Lost
Q000124,20260825,C0048,P010,6068,Won
Q000125,20250304,C0388,P013,3516,Won
Q000126,20241228,C0142,P006,9712,Won
Q000127,20260502,C0248,P015,6093,Won
Q000128,20261221,C0948,P004,6048,Won
Q000129,20240105,C0646,P009,7805,Pending
Q000130,20250622,C0464,P007,5855,Pending
Q000131,20261211,C0409,P009,3926,Lost
Q000132,20250615,C0207,P003,4987,Won
Q000133,20260514,C0093,P015,1603,Won
Q000134,20250623,C0227,P009,4097,Won
Q000135,20240223,C0418,P009,9811,Won
Q000136,20250729,C0303,P011,4642,Won
Q000137,20260726,C0127,P008,5025,Lost
Q000138,20251027,C0877,P006,3092,Lost
Q000139,20240113,C0461,P002,8500,Pending
Q000140,20260514,C0722,P006,3857,Won
Q000141,20260616,C0656,P001,2380,Won
Q000142,20260826,C0664,P015,9451,Won
Q000143,20250814,C0618,P014,6962,Won
Q000144,20260215,C0757,P006,9052,Lost
Q000145,20250911,C0619,P003,1724,Lost
Q000146,20261010,C0382,P009,5754,Won
Q000147,20250529,C0030,P010,3097,Won
Q000148,20250305,C0874,P007,1097,Won
Q000149,20260130,C0820,P013,8955,Won
Q000150,20251104,C0898,P013,3460,Won
Q000151,20260423,C0121,P003,5749,Pending
Q000152,20240227,C0091,P008,6552,Won
Q000153,20261203,C0846,P011,9708,Won
Q000154,20250130,C0492,P001,3297,Won
Q000155,20240520,C0046,P006,3264,Won
Q000156,20250501,C0374,P010,7277,Lost
Q000157,20250218,C0061,P001,4269,Pending
Q000158,20260621,C0970,P005,2430,Won
Q000159,20260907,C0904,P002,4606,Pending
Q000160,20260912,C0472,P009,973,Lost
Q000161,20240125,C0191,P012,1310,Won
Q000162,20240811,C0797,P003,8950,Lost
Q000163,20240416,C0301,P008,9962,Lost
Q000164,20250126,C0131,P001,758,Pending
Q000165,20250729,C0160,P007,3865,Pending
Q000166,20250517,C0928,P003,7025,Won
Q000167,20261122,C0286,P008,7649,Lost
Q000168,20240122,C0391,P010,4421,Won
Q000169,20241212,C0106,P009,4114,Lost
Q000170,20250220,C0553,P005,2372,Won
Q000171,20250327,C0125,P001,7288,Lost
Q000172,20240711,C0785,P006,2544,Won
Q000173,20240115,C0726,P013,5053,Lost
Q000174,20260601,C0221,P008,8373,Won
Q000175,20241210,C0510,P001,979,Lost
Q000176,20240828,C0794,P014,585,Won
Q000177,20251128,C0563,P001,9194,Pending
Q000178,20241215,C0399,P012,3177,Won
Q000179,20251003,C0426,P014,9596,Won
Q000180,20250806,C0921,P003,9425,Won
Q000181,20250216,C0546,P009,6542,Pending
Q000182,20250405,C0446,P008,1660,Won
Q000183,20251014,C0216,P014,4951,Won
Q000184,20261125,C0250,P006,3410,Lost
Q000185,20250828,C0652,P002,9120,Lost
Q000186,20250614,C0709,P013,8079,Won
Q000187,20250414,C0025,P015,4312,Lost
Q000188,20240730,C0035,P002,1786,Lost
Q000189,20241209,C0475,P005,8596,Won
Q000190,20251005,C0297,P001,9128,Won
Q000191,20260317,C0469,P001,6725,Lost
Q000192,20240621,C0382,P005,4620,Won
Q000193,20250823,C0879,P013,8322,Lost
Q000194,20260813,C0927,P013,7046,Won
Q000195,20251011,C0491,P011,5284,Won
Q000196,20260611,C0420,P003,6367,Won
Q000197,20261023,C0287,P013,5789,Won
Q000198,20240618,C0517,P006,4430,Won
Q000199,20241231,C0272,P004,9698,Lost
Q000200,20250215,C0090,P014,2210,Won
Q000201,20240108,C0044,P010,6154,Won
Q000202,20241122,C0737,P010,4883,Lost
Q000203,20240701,C0709,P015,8180,Won
Q000204,20250426,C0875,P001,4777,Won
Q000205,20241201,C0466,P012,2743,Won
Q000206,20251215,C0048,P013,3611,Lost
Q000207,20260606,C0719,P009,945,Won
Q000208,20260418,C0569,P003,1743,Won
Q000209,20260718,C0261,P001,6872,Lost
Q000210,20250611,C0583,P003,3265,Won
Q000211,20250523,C0807,P006,6562,Won
Q000212,20240918,C0039,P003,2576,Lost
Q000213,20250801,C0857,P006,2069,Won
Q000214,20240525,C0969,P010,9387,Lost
Q000215,20250716,C0681,P011,9114,Lost
Q000216,20260912,C0904,P011,1188,Lost
Q000217,20240514,C0723,P008,4441,Lost
Q000218,20250109,C0088,P006,7118,Lost
Q000219,20240801,C0210,P012,4680,Pending
Q000220,20260825,C0415,P006,8850,Won
Q000221,20260801,C0411,P003,1609,Lost
Q000222,20240330,C0670,P006,3099,Pending
Q000223,20260605,C0550,P002,715,Pending
Q000224,20260507,C0604,P014,7399,Won
Q000225,20260624,C0790,P004,5198,Won
Q000226,20260908,C0875,P002,2020,Lost
Q000227,20240212,C0735,P003,4245,Won
Q000228,20260726,C0705,P001,5096,Won
Q000229,20241004,C0681,P010,1323,Lost
Q000230,20250130,C0805,P009,9388,Lost
Q000231,20240717,C0665,P004,9782,Pending
Q000232,20250318,C0457,P003,9754,Pending
Q000233,20240825,C0572,P008,6943,Won
Q000234,20241101,C0927,P015,2155,Pending
Q000235,20261210,C0952,P012,1939,Pending
Q000236,20250724,C0964,P005,1234,Lost
Q000237,20250314,C0910,P001,7262,Pending
Q000238,20250711,C0559,P003,8407,Lost
Q000239,20240616,C0262,P014,8802,Won
Q000240,20250507,C0300,P007,3370,Won
Q000241,20260831,C0093,P005,3067,Won
Q000242,20260302,C0698,P014,4489,Won
Q000243,20261009,C0130,P008,3987,Pending
Q000244,20241002,C0760,P013,6105,Won
Q000245,20260309,C0395,P002,5181,Pending
Q000246,20251230,C0401,P002,4723,Pending
Q000247,20260314,C0829,P007,1511,Pending
Q000248,20250414,C0193,P012,9809,Won
Q000249,20240118,C0213,P004,575,Won
Q000250,20261227,C0997,P010,9284,Lost
Q000251,20260408,C0815,P002,5922,Won
Q000252,20250815,C0229,P012,4818,Won
Q000253,20261217,C0097,P015,2516,Won
Q000254,20260328,C0842,P012,3451,Lost
Q000255,20241224,C0015,P002,1331,Pending
Q000256,20240914,C0183,P011,9285,Won
Q000257,20240612,C0424,P005,9198,Won
Q000258,20260923,C0563,P011,9204,Lost
Q000259,20250407,C0662,P008,4223,Lost
Q000260,20250107,C0032,P013,3471,Won
Q000261,20251110,C0237,P010,7296,Won
Q000262,20250730,C0007,P003,8152,Pending
Q000263,20260423,C0843,P014,5894,Lost
Q000264,20260502,C0043,P008,5023,Won
Q000265,20261201,C0087,P011,1745,Won
Q000266,20250810,C0996,P007,9729,Won
Q000267,20240701,C0636,P013,9585,Lost
Q000268,20251121,C0377,P015,3715,Won
Q000269,20250413,C0829,P002,8507,Won
Q000270,20240425,C0646,P015,713,Lost
Q000271,20251115,C0419,P011,1780,Pending
Q000272,20261227,C0023,P011,1722,Lost
Q000273,20250714,C0208,P005,4414,Won
Q000274,20260905,C0943,P002,4325,Lost
Q000275,20250904,C0248,P010,2406,Won
Q000276,20250310,C0664,P014,7192,Won
Q000277,20250423,C0363,P010,4791,Pending
Q000278,20250917,C0327,P008,6332,Won
Q000279,20260528,C0741,P003,2468,Pending
Q000280,20250203,C0939,P004,9585,Lost
Q000281,20260914,C0769,P010,7118,Won
Q000282,20240123,C0316,P002,5792,Won
Q000283,20261209,C0255,P013,1353,Won
Q000284,20240716,C0714,P013,7267,Won
Q000285,20260614,C0231,P002,3518,Won
Q000286,20241102,C0547,P004,4150,Pending
Q000287,20240614,C0991,P001,1309,Lost
Q000288,20241030,C0601,P006,2404,Won
Q000289,20250706,C0698,P011,712,Lost
Q000290,20240519,C0536,P015,1194,Won
Q000291,20240228,C0597,P002,4513,Lost
Q000292,20260202,C0993,P004,1707,Lost
Q000293,20241101,C0877,P010,1300,Lost
Q000294,20260806,C0917,P012,3275,Pending
Q000295,20260809,C0744,P001,716,Won
Q000296,20240730,C0806,P013,8808,Won
Q000297,20250128,C0881,P003,6457,Lost
Q000298,20240223,C0844,P006,4460,Pending
Q000299,20250326,C0265,P007,6008,Won
Q000300,20260116,C0371,P012,886,Lost
Q000301,20250102,C0845,P005,4319,Lost
Q000302,20240309,C0316,P002,2164,Lost
Q000303,20250516,C0453,P014,4637,Won
Q000304,20260526,C0799,P013,1307,Lost
Q000305,20240409,C0303,P011,5841,Won
Q000306,20260303,C0929,P012,7418,Won
Q000307,20260910,C0569,P012,4960,Won
Q000308,20250329,C0495,P012,6789,Lost
Q000309,20240313,C0595,P013,2938,Won
Q000310,20250723,C0293,P006,3068,Won
Q000311,20260626,C0856,P010,2277,Won
Q000312,20261125,C0075,P011,3911,Won
Q000313,20240711,C0383,P008,2155,Lost
Q000314,20241013,C0605,P002,3370,Won
Q000315,20250703,C0502,P012,2301,Won
Q000316,20261003,C0107,P002,1124,Won
Q000317,20251228,C0079,P015,9939,Won
Q000318,20240731,C0551,P001,4903,Pending
Q000319,20260611,C0597,P003,8520,Lost
Q000320,20260702,C0447,P010,3728,Won
Q000321,20240817,C0905,P008,6534,Won
Q000322,20240306,C0206,P012,6578,Lost
Q000323,20260502,C0713,P001,3545,Pending
Q000324,20250714,C0516,P007,6752,Won
Q000325,20250503,C0677,P006,8633,Won
Q000326,20250929,C0794,P012,7363,Won
Q000327,20250111,C0801,P015,1915,Won
Q000328,20241212,C0296,P015,2100,Lost
Q000329,20251105,C0256,P004,2742,Lost
Q000330,20250725,C0034,P010,4125,Pending
Q000331,20250610,C0147,P013,4487,Won
Q000332,20240301,C0216,P004,3586,Won
Q000333,20260414,C0282,P002,9356,Pending
Q000334,20240911,C0394,P003,3892,Won
Q000335,20241204,C0463,P001,8661,Won
Q000336,20260305,C0545,P010,1831,Won
Q000337,20240122,C0574,P013,8111,Won
Q000338,20250103,C0264,P013,2686,Lost
Q000339,20240407,C0904,P014,6715,Won
Q000340,20260509,C0501,P008,4169,Lost
Q000341,20241229,C0806,P011,4154,Lost
Q000342,20250109,C0656,P006,2423,Won
Q000343,20260429,C0798,P009,3988,Won
Q000344,20240708,C0895,P008,5120,Won
Q000345,20240626,C0500,P002,9820,Lost
Q000346,20240522,C0859,P001,7169,Won
Q000347,20260820,C0748,P014,5455,Won
Q000348,20240323,C0630,P013,8209,Won
Q000349,20240621,C0911,P007,5145,Lost
Q000350,20241225,C0460,P004,893,Won
Q000351,20251205,C0599,P004,2386,Lost
Q000352,20240915,C0930,P015,7233,Won
Q000353,20241026,C0107,P009,2045,Lost
Q000354,20260115,C0670,P008,8924,Won
Q000355,20240112,C0037,P011,1726,Won
Q000356,20240202,C0982,P014,7704,Won
Q000357,20251124,C0972,P007,2898,Won
Q000358,20240716,C0799,P003,8190,Lost
Q000359,20261012,C0556,P005,1325,Won
Q000360,20260326,C0786,P012,9666,Pending
Q000361,20260918,C0920,P003,7820,Won
Q000362,20251230,C0390,P002,4114,Won
Q000363,20241124,C0422,P003,9703,Won
Q000364,20250827,C0929,P005,9332,Won
Q000365,20240925,C0090,P010,9075,Won
Q000366,20240602,C0086,P011,2964,Won
Q000367,20261031,C0962,P006,669,Lost
Q000368,20240722,C0137,P014,7128,Lost
Q000369,20241027,C0327,P004,3086,Lost
Q000370,20250815,C0017,P006,2453,Won
Q000371,20240226,C0608,P013,2947,Lost
Q000372,20260205,C0057,P007,5034,Lost
Q000373,20241031,C0957,P004,8578,Lost
Q000374,20240712,C0983,P014,4121,Won
Q000375,20261125,C0185,P007,1900,Lost
Q000376,20250201,C0165,P010,5190,Won
Q000377,20240705,C0732,P013,7236,Won
Q000378,20260223,C0960,P011,9104,Lost
Q000379,20240223,C0579,P005,6198,Lost
Q000380,20240605,C0443,P009,1337,Lost
Q000381,20250904,C0023,P006,1140,Pending
Q000382,20241209,C0726,P003,8524,Pending
Q000383,20241211,C0548,P007,7637,Won
Q000384,20250808,C0362,P015,4269,Pending
Q000385,20240119,C0841,P005,8577,Won
Q000386,20240908,C0732,P010,5127,Lost
Q000387,20240805,C0390,P005,4959,Won
Q000388,20250203,C0233,P014,5855,Won
Q000389,20250903,C0191,P005,7558,Won
Q000390,20240428,C0818,P013,9514,Pending
Q000391,20251003,C0013,P005,4377,Won
Q000392,20250209,C0937,P008,1633,Lost
Q000393,20251102,C0407,P014,9932,Lost
Q000394,20240621,C0101,P001,4624,Won
Q000395,20250816,C0831,P009,6046,Pending
Q000396,20250430,C0787,P002,8863,Pending
Q000397,20250909,C0713,P007,8235,Won
Q000398,20260725,C0516,P009,2125,Won
Q000399,20260102,C0643,P005,4063,Won
Q000400,20261229,C0873,P013,1704,Lost
Q000401,20260511,C0298,P002,6188,Won
Q000402,20260722,C0628,P006,7193,Won
Q000403,20260108,C0650,P011,8097,Won
Q000404,20240522,C0853,P012,3434,Won
Q000405,20250405,C0892,P006,8830,Won
Q000406,20241125,C0147,P015,9868,Won
Q000407,20260221,C0802,P011,7189,Won
Q000408,20251021,C0882,P015,3291,Won
Q000409,20260206,C0959,P009,7716,Won
Q000410,20240723,C0198,P007,2593,Pending
Q000411,20260620,C0971,P007,8146,Lost
Q000412,20260704,C0731,P010,1238,Pending
Q000413,20251122,C0962,P005,1689,Pending
Q000414,20250119,C0120,P008,5130,Lost
Q000415,20241110,C0249,P013,9171,Won
Q000416,20260415,C0648,P004,7206,Lost
Q000417,20240105,C0351,P001,8457,Won
Q000418,20250926,C0279,P012,2036,Won
Q000419,20250820,C0450,P005,7107,Won
Q000420,20251106,C0186,P005,7111,Lost
Q000421,20260302,C0196,P012,2861,Won
Q000422,20260309,C0021,P004,8724,Won
Q000423,20240102,C0457,P004,6949,Lost
Q000424,20251020,C0102,P002,3942,Won
Q000425,20260730,C0933,P005,4838,Lost
Q000426,20260130,C0041,P002,5498,Pending
Q000427,20250116,C0996,P013,1989,Lost
Q000428,20261229,C0042,P012,9788,Won
Q000429,20240312,C0651,P002,4920,Lost
Q000430,20261007,C0255,P012,6448,Won
Q000431,20240127,C0012,P015,2152,Pending
Q000432,20241115,C0440,P004,4308,Lost
Q000433,20240409,C0027,P013,1754,Lost
Q000434,20241202,C0605,P012,9655,Pending
Q000435,20261217,C0044,P010,2840,Lost
Q000436,20240922,C0038,P001,6364,Won
Q000437,20251223,C0990,P007,1995,Won
Q000438,20260123,C0780,P010,4850,Won
Q000439,20260502,C0075,P004,3229,Won
Q000440,20260609,C0814,P009,3473,Won
Q000441,20240616,C0389,P003,2061,Won
Q000442,20240204,C0004,P003,7934,Won
Q000443,20250427,C0294,P013,7664,Won
Q000444,20251116,C0251,P009,5023,Won
Q000445,20260606,C0443,P006,2912,Lost
Q000446,20250604,C0109,P001,3392,Won
Q000447,20261128,C0019,P004,4563,Lost
Q000448,20260722,C0775,P007,6297,Won
Q000449,20260811,C0176,P012,4421,Won
Q000450,20260202,C0107,P008,9275,Lost
Q000451,20240208,C0754,P002,4775,Pending
Q000452,20250220,C0079,P003,2977,Won
Q000453,20261024,C0114,P010,9579,Won
Q000454,20260323,C0982,P005,2567,Won
Q000455,20241101,C0440,P003,5092,Won
Q000456,20261213,C0402,P004,8852,Lost
Q000457,20260617,C0482,P012,2089,Won
Q000458,20251105,C0127,P001,1244,Pending
Q000459,20240831,C0536,P001,4304,Won
Q000460,20260821,C0706,P012,2946,Won
Q000461,20250110,C0286,P001,9930,Pending
Q000462,20261231,C0241,P014,6342,Won
Q000463,20251011,C0415,P002,7890,Won
Q000464,20250217,C0587,P014,8031,Pending
Q000465,20260211,C0501,P003,8100,Won
Q000466,20250703,C0082,P015,3498,Pending
Q000467,20260403,C0159,P013,4830,Pending
Q000468,20261110,C0786,P008,9029,Won
Q000469,20250219,C0365,P013,8275,Pending
Q000470,20251225,C0423,P011,4485,Won
Q000471,20240120,C0045,P009,2979,Won
Q000472,20241120,C0200,P009,1526,Lost
Q000473,20260313,C0192,P013,7473,Lost
Q000474,20250410,C0438,P006,3987,Lost
Q000475,20250718,C0497,P008,7808,Won
Q000476,20260227,C0166,P004,5144,Won
Q000477,20251218,C0900,P011,2952,Won
Q000478,20260526,C0435,P012,502,Won
Q000479,20260709,C0748,P006,4079,Won
Q000480,20251229,C0858,P013,8045,Won
Q000481,20240925,C0295,P001,7884,Lost
Q000482,20250127,C0817,P007,5945,Won
Q000483,20261103,C0612,P015,9990,Won
Q000484,20260112,C0996,P015,5847,Won
Q000485,20260106,C0783,P010,3149,Lost
Q000486,20240325,C0406,P012,3828,Won
Q000487,20240503,C0397,P011,7967,Lost
Q000488,20240824,C0030,P005,2717,Lost
Q000489,20251029,C0956,P006,8467,Lost
Q000490,20260909,C0206,P012,2951,Lost
Q000491,20260401,C0153,P013,9708,Won
Q000492,20240301,C0801,P009,9234,Lost
Q000493,20250417,C0376,P006,9584,Lost
Q000494,20240627,C0271,P013,3314,Won
Q000495,20241210,C0239,P012,7483,Won
Q000496,20260325,C0409,P001,5138,Lost
Q000497,20250527,C0343,P004,2987,Won
Q000498,20250407,C0375,P008,8856,Lost
Q000499,20261216,C0269,P008,2344,Won
Q000500,20250724,C0115,P006,8632,Won
Q000501,20251223,C0885,P014,4689,Lost
Q000502,20250326,C0313,P006,4237,Won
Q000503,20260101,C0663,P004,4418,Pending
Q000504,20251006,C0923,P007,7390,Lost
Q000505,20260724,C0794,P014,2908,Won
Q000506,20250116,C0877,P014,6303,Lost
Q000507,20241215,C0407,P013,6381,Won
Q000508,20260306,C0828,P003,5905,Won
Q000509,20240401,C0522,P002,568,Lost
Q000510,20260623,C0838,P013,9577,Lost
Q000511,20240411,C0010,P005,6261,Pending
Q000512,20261025,C0757,P009,3763,Won
Q000513,20260319,C0863,P002,7823,Lost
Q000514,20250813,C0944,P005,4373,Won
Q000515,20240112,C0482,P007,5801,Lost
Q000516,20250527,C0900,P012,5189,Lost
Q000517,20261109,C0498,P015,8170,Lost
Q000518,20250705,C0582,P015,9702,Lost
Q000519,20250608,C0767,P009,6268,Won
Q000520,20260808,C0686,P009,1607,Won
Q000521,20260609,C0857,P015,4869,Lost
Q000522,20250826,C0659,P006,2970,Won
Q000523,20251208,C0610,P013,2496,Pending
Q000524,20260610,C0086,P006,4233,Lost
Q000525,20250327,C0238,P007,6822,Won
Q000526,20240731,C0687,P003,9528,Lost
Q000527,20261221,C0825,P014,1791,Pending
Q000528,20240407,C0702,P008,9882,Won
Q000529,20261205,C0988,P005,8878,Pending
Q000530,20250911,C0111,P008,9776,Won
Q000531,20260204,C0190,P014,3463,Won
Q000532,20260324,C0170,P010,6482,Won
Q000533,20250228,C0773,P001,6478,Pending
Q000534,20240114,C0354,P002,4337,Won
Q000535,20240123,C0513,P008,3515,Won
Q000536,20250910,C0960,P007,7004,Won
Q000537,20250422,C0042,P009,8927,Won
Q000538,20240824,C0961,P006,8985,Pending
Q000539,20241125,C0340,P001,8296,Won
Q000540,20250120,C0206,P010,6063,Lost
Q000541,20260804,C0326,P003,4044,Lost
Q000542,20260109,C0777,P008,9996,Won
Q000543,20250303,C0084,P005,1921,Lost
Q000544,20260801,C0055,P008,8271,Won
Q000545,20260816,C0746,P005,1116,Lost
Q000546,20260305,C0902,P012,557,Won
Q000547,20241016,C0034,P002,1927,Lost
Q000548,20240305,C0138,P006,6890,Won
Q000549,20260216,C0314,P001,7205,Lost
Q000550,20250227,C0526,P007,3876,Won
Q000551,20260202,C0495,P005,8267,Lost
Q000552,20260620,C0424,P008,1316,Won
Q000553,20240321,C0045,P012,5891,Won
Q000554,20240620,C0903,P011,3314,Won
Q000555,20260723,C0446,P013,2244,Won
Q000556,20260411,C0794,P008,2848,Lost
Q000557,20250402,C0652,P009,3780,Lost
Q000558,20260103,C0567,P015,7544,Won
Q000559,20240515,C0809,P014,2642,Pending
Q000560,20250628,C0549,P015,5865,Lost
Q000561,20240308,C0915,P006,7581,Won
Q000562,20250405,C0833,P001,7245,Won
Q000563,20260622,C0228,P009,5319,Won
Q000564,20240218,C0897,P011,7698,Won
Q000565,20250918,C0151,P010,4987,Lost
Q000566,20260213,C0786,P005,1771,Lost
Q000567,20260928,C0840,P015,2368,Lost
Q000568,20250126,C0558,P007,4023,Pending
Q000569,20261027,C0974,P011,6421,Won
Q000570,20251218,C0592,P003,9046,Won
Q000571,20261205,C0121,P003,2807,Won
Q000572,20260529,C0754,P002,9209,Won
Q000573,20250310,C0211,P013,3203,Lost
Q000574,20240821,C0590,P015,5052,Pending
Q000575,20240105,C0718,P001,8337,Lost
Q000576,20251108,C0112,P009,2233,Won
Q000577,20260720,C0741,P008,6416,Won
Q000578,20250709,C0089,P002,730,Won
Q000579,20261015,C0533,P004,2419,Won
Q000580,20241211,C0141,P012,3745,Lost
Q000581,20260519,C0420,P009,8389,Lost
Q000582,20250305,C0420,P004,2532,Lost
Q000583,20260910,C0526,P007,9446,Won
Q000584,20261104,C0719,P009,9672,Won
Q000585,20250312,C0860,P010,1407,Lost
Q000586,20251225,C0150,P003,4348,Won
Q000587,20241122,C0923,P005,1694,Pending
Q000588,20241124,C0654,P006,7366,Won
Q000589,20250602,C0495,P015,7146,Lost
Q000590,20260606,C0429,P002,8863,Won
Q000591,20240331,C0766,P011,8669,Lost
Q000592,20240407,C0833,P009,8579,Lost
Q000593,20250201,C0472,P002,2079,Won
Q000594,20260930,C0263,P002,4494,Won
Q000595,20241113,C0459,P001,793,Pending
Q000596,20260901,C0521,P001,3993,Won
Q000597,20240115,C0699,P013,8424,Pending
Q000598,20240811,C0430,P003,9181,Won
Q000599,20261012,C0347,P005,9251,Won
Q000600,20241030,C0625,P002,4920,Lost
Q000601,20261014,C0169,P007,747,Won
Q000602,20260512,C0057,P002,6887,Won
Q000603,20240930,C0185,P004,8910,Lost
Q000604,20260703,C0038,P009,6037,Won
Q000605,20240324,C0642,P015,8887,Lost
Q000606,20240824,C0924,P011,5549,Lost
Q000607,20240413,C0895,P011,1246,Pending
Q000608,20240707,C0741,P013,9506,Won
Q000609,20240630,C0062,P013,2378,Won
Q000610,20260507,C0749,P011,7691,Won
Q000611,20240826,C0570,P003,9076,Lost
Q000612,20250126,C0681,P002,748,Lost
Q000613,20240720,C0587,P004,9640,Lost
Q000614,20240531,C0015,P014,4464,Won
Q000615,20260914,C0320,P002,3501,Won
Q000616,20251103,C0938,P011,8641,Won
Q000617,20260924,C0232,P004,548,Won
Q000618,20250109,C0565,P015,8525,Lost
Q000619,20241011,C0629,P002,4554,Pending
Q000620,20240323,C0225,P015,2022,Won
Q000621,20240218,C0648,P010,9401,Won
Q000622,20240421,C0514,P007,3865,Won
