SaleID,DateID,CustomerID,ProductID,ManufacturerID,EmployeeID,InstallerID,Quantity,Revenue,Cost,Profit
S000065,20240624,C0791,P011,M005,E004,I001,1,1578,1025.7,552.3
S000066,20260217,C0729,P005,M003,E007,I003,3,3763,1693.35,2069.65
S000067,20240111,C0966,P002,M005,E008,I003,3,687,446.55,240.45
S000068,20240627,C0192,P002,M007,E008,I005,5,771,501.15,269.85
S000069,20240730,C0027,P009,M002,E006,I005,1,4842,2663.1,2178.9
S000070,20251026,C0885,P010,M007,E001,I003,4,2024,1315.6,708.4
S000071,20250512,C0586,P007,M003,E007,I002,2,3193,1436.85,1756.15
S000072,20250703,C0505,P005,M003,E002,I002,4,4966,2234.7,2731.3
S000073,20250905,C0496,P005,M002,E006,I003,2,5949,2677.05,3271.95
S000074,20261012,C0609,P012,M004,E008,I001,2,1780,1157.0,623.0
S000075,20260321,C0341,P005,M007,E006,I004,3,2555,1149.75,1405.25
S000076,20241005,C0308,P007,M006,E010,I002,4,7833,3524.85,4308.15
S000077,20260326,C0992,P006,M006,E005,I004,5,3955,1779.75,2175.25
S000078,20251029,C0386,P013,M005,E007,I003,1,996,647.4,348.6
S000079,20250213,C0607,P015,M003,E009,I001,4,1654,1075.1,578.9
S000080,20260616,C0817,P012,M005,E002,I004,4,929,603.85,325.15
S000081,20250912,C0248,P003,M005,E003,I004,4,2497,1498.2,998.8
S000082,20260908,C0597,P002,M007,E009,I005,4,1419,922.35,496.65
S000083,20260106,C0719,P009,M002,E002,I002,3,1801,990.55,810.45
S000084,20240331,C0577,P003,M007,E006,I004,1,2525,1515.0,1010.0
S000085,20250613,C0228,P001,M004,E008,I003,4,701,455.65,245.35
S000086,20241104,C0354,P008,M001,E008,I001,3,5599,3079.45,2519.55
S000087,20240825,C0852,P007,M003,E006,I003,3,3203,1441.35,1761.65
S000088,20261203,C0495,P008,M006,E008,I001,4,3194,1756.7,1437.3
S000089,20251015,C0069,P012,M005,E001,I001,1,1426,926.9,499.1
S000090,20240811,C0694,P014,M003,E004,I005,2,1202,781.3,420.7
S000091,20251108,C0574,P009,M007,E008,I002,4,2811,1546.05,1264.95
S000092,20250116,C0656,P011,M007,E007,I001,5,1177,765.05,411.95
S000093,20260709,C0607,P015,M007,E007,I001,2,904,587.6,316.4
S000094,20240508,C0592,P004,M002,E009,I002,3,1770,1062.0,708.0
S000095,20260726,C0117,P006,M005,E008,I005,3,4114,1851.3,2262.7
S000096,20260314,C0602,P010,M002,E006,I003,4,1595,1036.75,558.25
S000097,20250901,C0941,P010,M002,E003,I003,1,1153,749.45,403.55
S000098,20240827,C0188,P004,M006,E003,I005,4,1825,1095.0,730.0
S000099,20241009,C0589,P007,M007,E007,I002,4,7385,3323.25,4061.75
S000100,20241220,C0569,P011,M003,E008,I003,2,1900,1235.0,665.0
S000101,20260712,C0635,P003,M001,E006,I001,4,1844,1106.4,737.6
S000102,20260225,C0987,P003,M008,E007,I004,4,1599,959.4,639.6
S000103,20260927,C0172,P012,M002,E010,I001,2,1409,915.85,493.15
S000104,20250716,C0231,P005,M005,E003,I004,5,2767,1245.15,1521.85
S000105,20261112,C0116,P012,M002,E005,I005,3,1514,984.1,529.9
S000106,20260622,C0560,P009,M004,E007,I001,2,1840,1012.0,828.0
S000107,20260710,C0270,P005,M006,E002,I004,1,2764,1243.8,1520.2
S000108,20250305,C0831,P013,M006,E010,I004,2,985,640.25,344.75
S000109,20250227,C0834,P010,M004,E001,I005,3,1085,705.25,379.75
S000110,20241210,C0332,P009,M005,E005,I005,3,3802,2091.1,1710.9
S000111,20240714,C0139,P014,M007,E001,I003,2,1553,1009.45,543.55
S000112,20250526,C0150,P012,M006,E004,I004,4,771,501.15,269.85
S000113,20250704,C0643,P003,M007,E007,I004,1,2382,1429.2,952.8
S000114,20240709,C0413,P011,M005,E006,I004,4,2427,1577.55,849.45
S000115,20240106,C0890,P006,M002,E008,I003,1,7267,3270.15,3996.85
S000116,20260325,C0224,P013,M007,E004,I004,3,1594,1036.1,557.9
S000117,20251122,C0561,P006,M003,E010,I004,3,4823,2170.35,2652.65
S000118,20240404,C0102,P015,M008,E001,I001,2,599,389.35,209.65
S000119,20240102,C0982,P008,M007,E004,I002,3,5239,2881.45,2357.55
S000120,20250715,C0096,P003,M006,E005,I001,3,2990,1794.0,1196.0
S000121,20241204,C0054,P011,M007,E005,I002,4,2128,1383.2,744.8
S000122,20240713,C0002,P011,M004,E008,I001,2,986,640.9,345.1
S000123,20261129,C0697,P010,M008,E001,I001,3,1263,820.95,442.05
S000124,20260514,C0711,P014,M003,E008,I001,2,746,484.9,261.1
S000125,20240728,C0106,P007,M006,E006,I003,2,3231,1453.95,1777.05
S000126,20241019,C0071,P007,M001,E010,I002,4,3590,1615.5,1974.5
S000127,20241106,C0942,P006,M007,E010,I004,2,4245,1910.25,2334.75
S000128,20241013,C0771,P002,M002,E010,I004,3,705,458.25,246.75
S000129,20241013,C0254,P007,M005,E002,I002,5,5076,2284.2,2791.8
S000130,20250806,C0798,P010,M001,E005,I002,5,2028,1318.2,709.8
S000131,20250121,C0766,P010,M007,E005,I001,2,1843,1197.95,645.05
S000132,20240818,C0247,P008,M008,E010,I001,5,4661,2563.55,2097.45
S000133,20260109,C0957,P015,M006,E003,I004,5,524,340.6,183.4
S000134,20241219,C0782,P007,M008,E002,I001,5,5493,2471.85,3021.15
S000135,20250620,C0221,P002,M001,E001,I004,5,528,343.2,184.8
S000136,20261023,C0786,P005,M007,E007,I004,1,7649,3442.05,4206.95
S000137,20241108,C0285,P011,M002,E005,I001,5,1898,1233.7,664.3
S000138,20241114,C0550,P015,M006,E007,I005,1,916,595.4,320.6
S000139,20250503,C0060,P005,M004,E002,I004,1,6083,2737.35,3345.65
S000140,20250925,C0683,P008,M003,E002,I001,2,1950,1072.5,877.5
S000141,20241201,C0509,P012,M006,E009,I005,3,523,339.95,183.05
S000142,20240916,C0768,P003,M005,E002,I001,3,1961,1176.6,784.4
S000143,20250711,C0537,P013,M002,E005,I005,1,1379,896.35,482.65
S000144,20261112,C0369,P008,M001,E008,I005,2,5228,2875.4,2352.6
S000145,20250606,C0792,P006,M002,E010,I001,2,3788,1704.6,2083.4
S000146,20240106,C0046,P012,M001,E004,I001,4,1542,1002.3,539.7
S000147,20241103,C0184,P006,M001,E009,I004,2,5637,2536.65,3100.35
S000148,20260502,C0938,P006,M006,E005,I001,5,4533,2039.85,2493.15
S000149,20261025,C0690,P006,M001,E003,I002,5,3478,1565.1,1912.9
S000150,20240521,C0899,P001,M008,E005,I003,3,1321,858.65,462.35
S000151,20260724,C0009,P002,M006,E004,I003,5,1632,1060.8,571.2
S000152,20250511,C0476,P013,M006,E010,I004,2,1122,729.3,392.7
S000153,20250517,C0155,P012,M001,E007,I001,2,1619,1052.35,566.65
S000154,20240120,C0974,P009,M006,E001,I004,3,4337,2385.35,1951.65
S000155,20261221,C0244,P002,M007,E008,I001,2,920,598.0,322.0
S000156,20240709,C0045,P012,M004,E009,I004,3,1073,697.45,375.55
S000157,20240714,C0518,P008,M003,E007,I001,5,2195,1207.25,987.75
S000158,20260609,C0679,P010,M003,E004,I003,3,927,602.55,324.45
S000159,20260315,C0718,P014,M006,E006,I004,3,1145,744.25,400.75
S000160,20250219,C0140,P004,M002,E003,I001,2,1352,811.2,540.8
S000161,20251005,C0417,P008,M002,E009,I003,2,5317,2924.35,2392.65
S000162,20260806,C0272,P008,M002,E002,I002,3,4025,2213.75,1811.25
S000163,20240323,C0221,P014,M006,E003,I001,2,1735,1127.75,607.25
S000164,20261117,C0051,P006,M005,E005,I002,1,5746,2585.7,3160.3
S000165,20250526,C0097,P007,M008,E002,I002,1,6204,2791.8,3412.2
S000166,20250331,C0134,P001,M004,E007,I003,1,626,406.9,219.1
S000167,20250614,C0940,P010,M002,E001,I001,2,2000,1300.0,700.0
S000168,20240920,C0095,P015,M006,E002,I001,4,1408,915.2,492.8
S000169,20260606,C0842,P001,M007,E008,I001,4,844,548.6,295.4
S000170,20241219,C0363,P011,M004,E003,I003,3,1673,1087.45,585.55
S000171,20240311,C0629,P008,M004,E005,I004,4,2717,1494.35,1222.65
S000172,20260908,C0063,P015,M002,E005,I004,2,1627,1057.55,569.45
S000173,20261212,C0256,P007,M001,E007,I003,4,4133,1859.85,2273.15
S000174,20251205,C0935,P009,M006,E007,I003,2,5470,3008.5,2461.5
S000175,20250324,C0031,P001,M005,E001,I004,5,1153,749.45,403.55
S000176,20250421,C0998,P006,M003,E002,I002,2,7284,3277.8,4006.2
S000177,20240424,C0783,P005,M004,E010,I004,3,6871,3091.95,3779.05
S000178,20241226,C0243,P015,M006,E006,I005,1,855,555.75,299.25
S000179,20241018,C0577,P012,M004,E008,I005,3,1220,793.0,427.0
S000180,20240318,C0093,P003,M001,E004,I005,2,2204,1322.4,881.6
S000181,20260905,C0001,P001,M006,E010,I002,2,1578,1025.7,552.3
S000182,20251024,C0061,P006,M001,E003,I005,2,3953,1778.85,2174.15
S000183,20261213,C0882,P013,M006,E002,I003,4,727,472.55,254.45
S000184,20251120,C0310,P010,M006,E003,I002,4,1006,653.9,352.1
S000185,20251011,C0179,P013,M006,E004,I005,2,1497,973.05,523.95
S000186,20250826,C0131,P007,M003,E001,I005,4,5013,2255.85,2757.15
S000187,20240307,C0187,P014,M006,E010,I002,5,1662,1080.3,581.7
S000188,20241015,C0340,P002,M002,E004,I003,3,1516,985.4,530.6
S000189,20240630,C0842,P003,M006,E008,I001,3,2502,1501.2,1000.8
S000190,20240518,C0359,P004,M005,E002,I001,1,1711,1026.6,684.4
S000191,20260509,C0993,P007,M003,E007,I004,4,6089,2740.05,3348.95
S000192,20260207,C0104,P006,M008,E010,I002,2,6973,3137.85,3835.15
S000193,20240309,C0302,P008,M001,E006,I003,1,2103,1156.65,946.35
S000194,20241214,C0910,P002,M007,E003,I001,5,1200,780.0,420.0
S000195,20251123,C0609,P015,M008,E001,I004,2,690,448.5,241.5
S000196,20241117,C0055,P010,M002,E006,I002,2,1689,1097.85,591.15
S000197,20250627,C0677,P007,M005,E005,I002,1,7039,3167.55,3871.45
S000198,20261002,C0158,P001,M001,E006,I001,4,1304,847.6,456.4
S000199,20260910,C0205,P002,M002,E001,I002,2,1103,716.95,386.05
S000200,20240616,C0485,P011,M002,E005,I004,4,1397,908.05,488.95
S000201,20240705,C0658,P008,M007,E003,I003,4,3670,2018.5,1651.5
S000202,20260701,C0046,P006,M005,E008,I004,3,4028,1812.6,2215.4
S000203,20250704,C0578,P004,M001,E003,I001,1,2914,1748.4,1165.6
S000204,20260427,C0995,P011,M004,E009,I001,4,1504,977.6,526.4
S000205,20260507,C0989,P014,M008,E010,I002,4,1570,1020.5,549.5
S000206,20260319,C0925,P005,M001,E009,I005,5,3146,1415.7,1730.3
S000207,20241028,C0124,P013,M008,E003,I002,2,1670,1085.5,584.5
S000208,20240915,C0044,P013,M007,E002,I004,2,894,581.1,312.9
S000209,20241029,C0855,P014,M005,E006,I001,1,1784,1159.6,624.4
S000210,20260324,C0566,P007,M006,E005,I005,4,7057,3175.65,3881.35
S000211,20261206,C0801,P015,M007,E002,I004,2,525,341.25,183.75
S000212,20240724,C0948,P003,M002,E010,I001,3,2360,1416.0,944.0
S000213,20251205,C0899,P014,M007,E005,I004,4,1596,1037.4,558.6
S000214,20260826,C0039,P010,M003,E005,I004,2,2047,1330.55,716.45
S000215,20260402,C0040,P010,M007,E006,I002,1,2046,1329.9,716.1
S000216,20250704,C0919,P012,M006,E001,I003,3,1473,957.45,515.55
S000217,20261003,C0879,P005,M002,E004,I002,3,4796,2158.2,2637.8
S000218,20251019,C0276,P012,M007,E010,I001,2,1407,914.55,492.45
S000219,20260413,C0759,P008,M008,E009,I003,1,3231,1777.05,1453.95
S000220,20240514,C0319,P009,M007,E003,I005,5,2802,1541.1,1260.9
S000221,20250129,C0897,P001,M004,E001,I002,1,855,555.75,299.25
S000222,20260108,C0722,P008,M004,E005,I003,4,1914,1052.7,861.3
S000223,20240910,C0698,P009,M001,E004,I003,4,4751,2613.05,2137.95
S000224,20241229,C0984,P010,M008,E010,I005,3,1713,1113.45,599.55
S000225,20250613,C0767,P006,M002,E005,I001,4,3839,1727.55,2111.45
S000226,20250314,C0878,P001,M004,E004,I002,3,833,541.45,291.55
S000227,20261117,C0021,P011,M001,E008,I002,2,1638,1064.7,573.3
S000228,20240118,C0230,P010,M005,E010,I003,3,2440,1586.0,854.0
S000229,20251215,C0471,P007,M005,E004,I004,3,5584,2512.8,3071.2
S000230,20260324,C0599,P011,M002,E001,I005,3,1866,1212.9,653.1
S000231,20250903,C0701,P009,M002,E008,I001,3,3815,2098.25,1716.75
S000232,20251027,C0883,P005,M005,E005,I003,2,7747,3486.15,4260.85
S000233,20250507,C0922,P003,M001,E010,I004,3,2259,1355.4,903.6
S000234,20240222,C0672,P011,M008,E005,I003,4,1086,705.9,380.1
S000235,20240313,C0598,P007,M004,E006,I002,5,5680,2556.0,3124.0
S000236,20260901,C0929,P011,M006,E009,I003,2,2407,1564.55,842.45
S000237,20250105,C0301,P014,M002,E008,I002,3,1643,1067.95,575.05
S000238,20250109,C0970,P012,M006,E002,I002,3,1644,1068.6,575.4
S000239,20250920,C0431,P004,M006,E006,I003,5,2724,1634.4,1089.6
S000240,20240829,C0482,P005,M001,E010,I005,5,6299,2834.55,3464.45
S000241,20250202,C0513,P002,M002,E007,I005,3,1467,953.55,513.45
S000242,20241104,C0141,P007,M004,E006,I004,5,2942,1323.9,1618.1
S000243,20241020,C0324,P015,M003,E002,I004,3,1437,934.05,502.95
S000244,20251003,C0650,P011,M001,E001,I004,3,1162,755.3,406.7
S000245,20241211,C0591,P004,M003,E008,I001,2,2758,1654.8,1103.2
S000246,20260529,C0414,P010,M007,E008,I004,1,1688,1097.2,590.8
S000247,20250212,C0749,P001,M006,E001,I003,5,1593,1035.45,557.55
S000248,20240109,C0642,P004,M004,E004,I003,3,1236,741.6,494.4
S000249,20260224,C0516,P003,M005,E003,I001,1,1410,846.0,564.0
S000250,20260722,C0746,P005,M006,E007,I002,3,4882,2196.9,2685.1
S000251,20260105,C0769,P015,M004,E003,I004,1,1503,976.95,526.05
S000252,20240925,C0217,P004,M001,E010,I005,2,1659,995.4,663.6
S000253,20240317,C0385,P002,M005,E009,I005,1,1250,812.5,437.5
S000254,20240809,C0670,P010,M001,E001,I001,4,898,583.7,314.3
S000255,20240910,C0561,P008,M005,E008,I002,2,4615,2538.25,2076.75
S000256,20240120,C0309,P012,M007,E002,I005,3,1790,1163.5,626.5
S000257,20241007,C0429,P010,M002,E009,I005,1,2040,1326.0,714.0
S000258,20240805,C0510,P005,M004,E010,I002,3,3433,1544.85,1888.15
S000259,20250217,C0367,P014,M007,E005,I002,1,1571,1021.15,549.85
S000260,20250301,C0705,P009,M008,E006,I002,1,5566,3061.3,2504.7
S000261,20240814,C0856,P001,M008,E003,I001,5,682,443.3,238.7
S000262,20250608,C0660,P002,M004,E008,I003,3,707,459.55,247.45
S000263,20240723,C0833,P008,M003,E001,I003,3,1910,1050.5,859.5
S000264,20260522,C0757,P013,M002,E002,I001,1,1140,741.0,399.0
S000265,20241215,C0337,P014,M006,E008,I005,3,783,508.95,274.05
S000266,20260202,C0835,P015,M006,E003,I001,4,690,448.5,241.5
S000267,20250710,C0856,P007,M007,E008,I004,2,6239,2807.55,3431.45
S000268,20240430,C0966,P002,M003,E002,I004,5,771,501.15,269.85
S000269,20250106,C0626,P008,M007,E006,I005,1,5089,2798.95,2290.05
S000270,20260916,C0943,P014,M008,E002,I004,4,767,498.55,268.45
S000271,20250619,C0671,P001,M006,E001,I005,5,629,408.85,220.15
S000272,20250403,C0979,P012,M006,E009,I005,5,1657,1077.05,579.95
S000273,20250524,C0494,P002,M006,E007,I002,5,1386,900.9,485.1
S000274,20240421,C0012,P015,M003,E009,I004,4,1755,1140.75,614.25
S000275,20240602,C0770,P014,M008,E006,I002,3,838,544.7,293.3
S000276,20261104,C0229,P005,M007,E007,I002,1,2912,1310.4,1601.6
S000277,20260706,C0091,P008,M008,E008,I003,1,5138,2825.9,2312.1
S000278,20240729,C0414,P008,M007,E001,I005,5,1645,904.75,740.25
S000279,20250915,C0912,P001,M004,E008,I003,3,686,445.9,240.1
S000280,20250401,C0865,P014,M008,E006,I005,5,611,397.15,213.85
S000281,20260114,C0734,P010,M008,E002,I001,2,1768,1149.2,618.8
S000282,20251228,C0850,P001,M005,E009,I005,3,1199,779.35,419.65
S000283,20240403,C0919,P012,M003,E008,I002,4,717,466.05,250.95
S000284,20250205,C0193,P002,M002,E007,I002,4,1020,663.0,357.0
S000285,20251123,C0111,P014,M007,E001,I005,1,890,578.5,311.5
S000286,20260725,C0675,P013,M003,E008,I001,5,1422,924.3,497.7
S000287,20260605,C0859,P012,M008,E009,I002,5,599,389.35,209.65
S000288,20240919,C0107,P003,M007,E010,I005,3,2696,1617.6,1078.4
S000289,20260507,C0624,P009,M004,E005,I004,3,4651,2558.05,2092.95
S000290,20240930,C0142,P005,M007,E010,I005,3,6209,2794.05,3414.95
S000291,20251004,C0729,P014,M004,E004,I002,5,1621,1053.65,567.35
S000292,20251208,C0944,P012,M003,E003,I005,5,1095,711.75,383.25
S000293,20240824,C0780,P012,M006,E009,I004,5,1160,754.0,406.0
S000294,20260504,C0691,P010,M005,E007,I001,5,2166,1407.9,758.1
S000295,20260219,C0149,P002,M001,E001,I002,3,551,358.15,192.85
S000296,20250809,C0700,P013,M005,E003,I001,3,829,538.85,290.15
S000297,20240307,C0368,P004,M008,E002,I005,5,2743,1645.8,1097.2
S000298,20260307,C0244,P014,M005,E001,I004,4,959,623.35,335.65
S000299,20240420,C0014,P007,M005,E004,I005,4,5061,2277.45,2783.55
S000300,20260123,C0774,P014,M004,E004,I003,4,961,624.65,336.35
S000301,20240601,C0192,P003,M003,E009,I001,4,2598,1558.8,1039.2
S000302,20250725,C0570,P001,M005,E003,I002,5,1377,895.05,481.95
S000303,20240112,C0339,P014,M008,E003,I001,2,1022,664.3,357.7
S000304,20240414,C0793,P015,M005,E008,I005,5,1160,754.0,406.0
S000305,20251012,C0539,P006,M004,E003,I005,1,3097,1393.65,1703.35
S000306,20241122,C0426,P013,M007,E002,I003,2,1534,997.1,536.9
S000307,20251110,C0340,P015,M006,E005,I002,5,936,608.4,327.6
S000308,20240119,C0118,P009,M006,E008,I002,5,5390,2964.5,2425.5
S000309,20250514,C0982,P015,M001,E006,I004,1,1772,1151.8,620.2
S000310,20250802,C0026,P007,M006,E009,I005,4,4601,2070.45,2530.55
S000311,20250830,C0920,P008,M004,E006,I005,1,1859,1022.45,836.55
S000312,20261228,C0008,P002,M002,E004,I002,4,842,547.3,294.7
S000313,20250225,C0551,P014,M007,E002,I002,1,712,462.8,249.2
S000314,20240318,C0090,P008,M002,E001,I002,3,4217,2319.35,1897.65
S000315,20250411,C0933,P009,M005,E007,I004,4,2077,1142.35,934.65
S000316,20260605,C0324,P011,M001,E007,I001,5,1628,1058.2,569.8
S000317,20240509,C0775,P001,M001,E002,I003,5,1766,1147.9,618.1
S000318,20250909,C0622,P002,M002,E005,I004,4,1093,710.45,382.55
S000319,20240304,C0486,P007,M003,E009,I002,2,7912,3560.4,4351.6
S000320,20250827,C0984,P012,M003,E005,I003,1,1300,845.0,455.0
S000321,20240909,C0043,P009,M001,E010,I005,4,2658,1461.9,1196.1
S000322,20240623,C0313,P009,M004,E006,I002,4,5985,3291.75,2693.25
S000323,20241018,C0165,P015,M003,E004,I005,3,1549,1006.85,542.15
S000324,20250106,C0688,P004,M001,E009,I004,5,1434,860.4,573.6
S000325,20240517,C0257,P002,M002,E004,I005,4,1095,711.75,383.25
S000326,20240919,C0688,P006,M004,E002,I003,5,5425,2441.25,2983.75
S000327,20251012,C0498,P002,M008,E006,I005,3,896,582.4,313.6
S000328,20241108,C0580,P012,M006,E006,I004,2,1696,1102.4,593.6
S000329,20250519,C0805,P001,M004,E007,I003,3,1141,741.65,399.35
S000330,20251110,C0899,P003,M008,E008,I004,3,2591,1554.6,1036.4
S000331,20260924,C0565,P013,M002,E003,I005,1,1125,731.25,393.75
S000332,20241013,C0913,P014,M004,E005,I001,1,1074,698.1,375.9
S000333,20261104,C0647,P015,M001,E010,I005,4,538,349.7,188.3
S000334,20250311,C0929,P013,M001,E009,I003,5,1708,1110.2,597.8
S000335,20260824,C0670,P015,M003,E006,I004,2,1605,1043.25,561.75
S000336,20250818,C0138,P015,M008,E009,I005,1,1707,1109.55,597.45
S000337,20261025,C0011,P007,M004,E010,I002,5,5480,2466.0,3014.0
S000338,20241122,C0184,P003,M003,E008,I003,1,2113,1267.8,845.2
S000339,20260925,C0238,P004,M002,E005,I003,2,2759,1655.4,1103.6
S000340,20261126,C0930,P001,M006,E007,I004,4,923,599.95,323.05
S000341,20240322,C0665,P015,M006,E002,I005,3,595,386.75,208.25
S000342,20241222,C0386,P014,M007,E006,I005,1,1039,675.35,363.65
S000343,20260209,C0997,P009,M004,E009,I004,3,3560,1958.0,1602.0
S000344,20260924,C0812,P014,M008,E010,I001,5,1206,783.9,422.1
S000345,20260619,C0170,P015,M004,E002,I005,3,784,509.6,274.4
S000346,20250117,C0162,P004,M006,E010,I001,2,1507,904.2,602.8
S000347,20240820,C0494,P007,M008,E008,I002,5,5205,2342.25,2862.75
S000348,20260421,C0023,P003,M004,E001,I002,5,2525,1515.0,1010.0
S000349,20241002,C0645,P010,M001,E010,I002,1,1129,733.85,395.15
S000350,20250103,C0530,P003,M007,E010,I005,1,1728,1036.8,691.2
S000351,20240624,C0222,P015,M008,E010,I004,4,1080,702.0,378.0
S000352,20260421,C0616,P003,M003,E010,I002,5,1649,989.4,659.6
S000353,20250625,C0172,P011,M006,E008,I005,5,1846,1199.9,646.1
S000354,20260213,C0395,P002,M003,E002,I001,2,970,630.5,339.5
S000355,20260509,C0847,P009,M003,E010,I001,2,5631,3097.05,2533.95
S000356,20261224,C0516,P008,M002,E002,I004,2,1819,1000.45,818.55
S000357,20240103,C0919,P015,M007,E009,I004,3,1735,1127.75,607.25
S000358,20261221,C0440,P014,M004,E008,I004,3,588,382.2,205.8
S000359,20240719,C0436,P010,M003,E005,I004,2,2447,1590.55,856.45
S000360,20250803,C0613,P015,M007,E005,I002,1,671,436.15,234.85
S000361,20261206,C0121,P012,M001,E007,I002,3,514,334.1,179.9
S000362,20240806,C0159,P007,M007,E010,I003,3,5467,2460.15,3006.85
S000363,20260517,C0579,P014,M006,E010,I003,4,1597,1038.05,558.95
S000364,20260426,C0566,P013,M008,E003,I003,5,917,596.05,320.95
S000365,20250603,C0315,P009,M006,E007,I002,1,5462,3004.1,2457.9
S000366,20260703,C0802,P012,M003,E002,I002,5,970,630.5,339.5
S000367,20240416,C0165,P007,M007,E001,I001,2,5272,2372.4,2899.6
